ID,Name,Age,Gender,DOB,City,Country,Income,Income_in_thousands,Marital_Status,Employment_Status,Num_Children,Education_Level,Health_Status,Height,Weight,BMI,Has_DL,Owns_Vehicle,Blood_Group,Smoker,Alcohol_Consumption,Last_Physical_Checkup,Email,Phone_Number,Allergies,Credit_Score,Life_Insurance,Health_Insurance
5439,"Hannah Moore",65,Female,1960-02-18,Beijing,China,46363.50,46.36,Single,Retired,0,PhD,Good,NULL,58.92,NULL,1,1,A-,1,Rarely,2020-04-01,hannah.moore@outlook.com,+8642497242191,Dairy,348,1,1
5440,"James Jackson",72,Male,1953-12-29,Mumbai,India,148399.11,148.40,Single,Retired,0,Master,Fair,1.53,NULL,NULL,1,1,AB+,1,Rarely,2022-12-06,james.jackson@gmail.com,+914201120984,Shellfish,323,1,0
5441,"Gabriela Pitts",20,"Prefer not to say",2005-06-13,Moscow,Russia,65801.63,65.80,Single,Unemployed,0,"High School",Excellent,1.83,105.19,31.41,1,1,A+,1,Often,2021-05-30,gabriela.pitts@yahoo.com,+73512077635,Pollen,718,1,0
5442,"Teresa Trujillo",49,Female,1976-12-13,Bangkok,Thailand,111260.60,111.26,Divorced,Unemployed,2,Master,Fair,1.89,96.54,27.03,1,0,AB+,1,Often,2023-06-01,teresa.trujillo@hotmail.com,+66219117645,Dairy,328,1,0
5443,"Eduardo George",NULL,Male,1968-06-05,Milan,Italy,56124.43,56.12,Widowed,Employed,5,Master,Fair,1.71,78.11,26.71,1,0,B+,1,Never,2020-10-15,eduardo.george@outlook.com,NULL,Dairy,781,1,0
5444,"Phillip Berry",NULL,Male,1969-07-07,Birmingham,"United Kingdom",109467.98,109.47,Married,Unemployed,0,PhD,Fair,1.62,90.37,34.43,0,0,B-,1,Often,2020-08-11,NULL,+448630066053,None,605,1,1
5445,"Brandon Knight",NULL,"Prefer not to say",2005-04-25,Berlin,Germany,126179.78,126.18,Divorced,NULL,1,"High School",Fair,1.61,62.27,24.02,1,0,A-,1,Occasionally,2021-01-01,brandon.knight@outlook.com,+497559902977,Shellfish,820,1,1
5446,"Austin Taylor",73,Male,1952-11-06,Houston,"United States",33541.36,33.54,Single,Retired,0,Master,Poor,1.83,62.74,18.73,1,1,B+,0,Never,2023-12-09,austin.taylor@yahoo.com,+10177369943,None,321,1,0
5447,"David Young",74,Male,1951-06-17,Tokyo,Japan,78665.85,78.67,Single,Retired,0,PhD,Poor,1.80,103.71,32.01,0,0,O+,1,Never,2020-11-03,david.young@gmail.com,+815739809100,Dairy,551,1,1
5448,"Michael Garcia",48,Male,1977-11-17,Delhi,India,110245.21,110.25,Married,Unemployed,-3,Master,Fair,1.59,74.11,29.31,0,0,B-,1,Occasionally,2020-02-12,michael.garcia@yahoo.com,+913511123606,Pollen,850,0,1
5449,"Erik Flores",38,Male,1987-04-05,Dubai,"United Arab Emirates",90796.15,90.80,Married,Employed,3,Master,Poor,1.82,74.68,22.55,1,0,O-,1,Often,2021-05-13,erik.flores@yahoo.com,+971514048039,Dairy,321,1,1
5450,"Adam Cardenas",46,Male,1979-02-25,"New York","United States",148468.62,148.47,Single,Self-employed,0,Master,Good,1.86,98.75,28.54,1,0,A-,0,Occasionally,2023-10-23,adam.cardenas@gmail.com,+13164117429,None,699,1,1
5451,"Monica Green",68,Female,1957-11-01,"New York","United States",102967.26,102.97,Married,Retired,5,Master,Fair,1.64,78.85,29.32,1,0,AB+,0,Never,2022-03-28,monica.green@gmail.com,+12484118081,Shellfish,481,0,1
5452,"Mr. Samuel Perry PhD",71,Male,1954-03-08,Toronto,Canada,31166.79,31.17,Widowed,Retired,5,PhD,Poor,1.95,74.20,19.51,0,0,B+,1,Occasionally,2022-02-05,mr..phd@outlook.com,+12681036179,None,653,1,0
5453,"Leah Clark",48,Non-binary,1977-12-29,Lyon,France,148466.82,148.47,Widowed,Self-employed,1,Master,Excellent,1.86,105.42,30.47,0,0,O+,1,Rarely,2022-06-05,leah.clark@outlook.com,+33482710030,Shellfish,735,1,1
5454,"John Wilkinson",NULL,"Prefer not to say",1989-01-21,Rome,Italy,33542.50,33.54,Married,Self-employed,5,PhD,Excellent,1.87,NULL,NULL,0,0,B+,1,Often,2020-04-13,john.wilkinson@outlook.com,+398673248202,Dairy,439,1,1
5455,"Jerry Jackson",NULL,NULL,1995-07-14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,jerry.jackson@outlook.com,NULL,NULL,NULL,NULL,NULL
5456,"Kayla Beasley",74,Female,1951-02-03,Paris,France,104501.25,104.50,Married,Retired,5,Master,Good,1.86,66.73,19.29,1,0,B-,0,Rarely,2023-02-15,kayla.beasley@outlook.com,+33173733472,Nuts,773,0,1
5457,"Kimberly King",NULL,Female,1950-11-16,Shanghai,China,85876.48,85.88,Married,Retired,0,Bachelor,Excellent,1.79,117.50,36.67,1,1,AB+,0,Occasionally,2021-04-16,NULL,NULL,None,650,1,1
5458,"Jennifer Fletcher",72,Female,1953-12-23,Phoenix,"United States",132956.96,132.96,Single,Retired,2,Master,Good,1.99,106.31,26.85,1,1,AB+,0,Occasionally,2020-08-23,jennifer.fletcher@yahoo.com,+12856581112,None,466,1,0
5459,"Dr. Cindy Wright",50,"Prefer not to say",1975-12-11,Tokyo,Japan,100533.51,100.53,Single,Employed,0,PhD,Fair,1.97,NULL,NULL,1,1,O+,1,Often,2023-02-01,dr..wright@outlook.com,+813594149622,Dairy,476,0,1
5460,"Daniel Russell",56,Male,1969-05-03,"Abu Dhabi","United Arab Emirates",135888.72,135.89,Divorced,Employed,3,Bachelor,Good,1.83,52.39,15.64,1,0,O+,0,Occasionally,2023-10-24,daniel.russell@gmail.com,+971848573342,Nuts,686,0,0
5461,"Willie Hunter",25,Male,2000-11-27,"Los Angeles","United States",146839.23,146.84,Divorced,Employed,0,Bachelor,Fair,1.65,87.04,31.97,1,0,AB+,0,Often,2022-09-14,willie.hunter@outlook.com,+10643326156,Shellfish,696,1,0
5462,"Mary Lynch",44,Non-binary,1981-10-24,Birmingham,"United Kingdom",130934.07,130.93,Married,Unemployed,1,PhD,Fair,2.00,114.20,28.55,1,1,A-,0,Rarely,2020-06-09,mary.lynch@yahoo.com,+446549269223,None,333,1,1
5463,"Jenna Johnson",67,Non-binary,1958-12-11,Rome,Italy,79424.78,79.42,Divorced,Retired,4,Bachelor,Excellent,1.70,109.19,37.78,0,0,A-,1,Often,2021-01-18,jenna.johnson@hotmail.com,+393254300949,Pollen,358,1,0
5464,"Alexis Ortiz",74,Female,1951-11-13,Lyon,France,62839.10,62.84,Married,Retired,0,Bachelor,Good,1.79,67.32,21.01,0,0,AB+,0,Never,2022-12-11,alexis.ortiz@yahoo.com,NULL,Shellfish,830,0,0
5465,"Leon Roberts",33,Non-binary,1992-07-10,Phoenix,"United States",144449.01,144.45,Single,Employed,0,PhD,Poor,1.61,80.02,30.87,1,1,AB+,0,Often,2022-01-14,leon.roberts@yahoo.com,+10127275990,None,306,1,1
5466,"Michael Velazquez",42,"Prefer not to say",1983-02-05,Beijing,China,57458.56,57.46,Divorced,Employed,0,PhD,Good,1.84,83.39,24.63,0,0,B-,1,Never,2020-01-08,michael.velazquez@outlook.com,+8629358861494,Dairy,770,0,1
5467,"Angela Dalton",66,Non-binary,1959-12-22,Delhi,India,52811.69,52.81,Divorced,Retired,0,Master,Excellent,1.61,115.55,44.58,1,1,B-,1,Often,2022-08-08,angela.dalton@yahoo.com,+918737444630,Dairy,530,1,1
5468,"Dawn Hull",60,Non-binary,1965-12-07,Bangkok,Thailand,65489.44,65.49,Divorced,Retired,0,Bachelor,Good,1.61,62.97,24.29,1,1,O+,0,Never,2023-04-17,dawn.hull@hotmail.com,+66707288430,None,819,1,1
5469,"Kathy Burnett DVM",34,"Prefer not to say",1991-09-30,Bangkok,Thailand,88621.82,88.62,Widowed,Self-employed,1,Master,Good,1.83,58.68,17.52,1,1,A-,1,Rarely,2022-11-30,kathy.dvm@yahoo.com,+66860228950,Pollen,669,1,1
5470,"Ashley Murphy",58,"Prefer not to say",1967-04-26,Tokyo,Japan,39431.63,39.43,Widowed,Self-employed,0,PhD,Poor,1.86,106.44,30.77,0,0,O-,0,Occasionally,2022-02-25,ashley.murphy@gmail.com,+812191211496,Pollen,403,1,1
5471,"Nicole Carpenter",57,Female,1968-08-29,Melbourne,Australia,83781.52,83.78,Single,Employed,0,Bachelor,Good,1.64,95.44,35.48,0,0,A-,0,Occasionally,2020-09-15,nicole.carpenter@yahoo.com,+61668016648,Shellfish,324,1,1
5472,"Danielle Davis",62,Female,1963-06-19,Vancouver,Canada,74895.78,74.90,Divorced,Retired,2,PhD,Poor,1.86,59.10,17.08,1,1,B+,1,Often,2021-12-07,danielle.davis@outlook.com,+15788045243,Nuts,676,1,0
5473,"Tina Robinson",32,Female,1993-01-09,Tokyo,Japan,98900.65,98.90,Widowed,Unemployed,0,Master,Good,1.62,92.68,35.31,1,0,A+,0,Never,2020-03-28,tina.robinson@hotmail.com,+813026372069,Dairy,535,1,1
5474,"Robert Elliott",56,Male,1969-01-11,"Saint Petersburg",Russia,116536.21,116.54,Divorced,Employed,2,Master,Fair,1.57,91.20,37.00,0,0,A+,0,Often,2020-05-19,robert.elliott@yahoo.com,NULL,Nuts,397,1,0
5475,"Tracy Stephens",71,Female,1954-04-07,"New York","United States",51564.46,51.56,Divorced,Retired,4,Master,Good,1.51,74.71,32.77,0,0,A-,1,Rarely,2021-11-15,tracy.stephens@yahoo.com,+13799299851,None,586,0,1
5476,"Paige Jenkins",46,Female,1979-09-19,Osaka,Japan,112364.37,112.36,Married,Self-employed,0,Master,Fair,NULL,75.46,NULL,0,0,A+,1,Never,2023-11-28,paige.jenkins@gmail.com,+810014799284,None,522,1,0
5477,"Brian Torres",64,"Prefer not to say",1961-10-26,"New York","United States",46628.15,46.63,Divorced,Retired,4,PhD,Good,1.55,109.31,45.50,0,0,B+,1,Rarely,2020-03-21,brian.torres@gmail.com,+13820639440,Pollen,770,1,1
5478,"Michelle King",67,Female,1958-10-29,Tokyo,Japan,31692.19,31.69,Married,Retired,0,Master,Fair,1.90,71.34,19.76,0,0,AB+,1,Occasionally,2023-12-12,michelle.king@hotmail.com,+813921908479,Pollen,687,1,0
5479,"Christina Bennett",NULL,NULL,1956-10-24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,christina.bennett@outlook.com,NULL,NULL,NULL,NULL,NULL
5480,"Brooke Buck",46,Female,1979-03-07,"Los Angeles","United States",52587.95,52.59,Married,NULL,2,Bachelor,Good,1.64,103.06,38.32,1,1,AB+,0,Occasionally,2020-12-08,brooke.buck@hotmail.com,+17396213572,Pollen,765,1,1
5481,"Lauren Oneal",74,"Prefer not to say",1951-08-18,Moscow,Russia,128736.66,128.74,Divorced,Retired,3,Bachelor,Poor,1.60,90.67,35.42,1,0,AB-,0,Occasionally,2022-09-18,lauren.oneal@outlook.com,+77053044695,Nuts,300,0,1
5482,"Norma Guerra",45,Female,1980-10-22,Tokyo,Japan,113243.24,113.24,Single,Employed,0,PhD,Fair,1.61,70.59,27.23,0,0,B+,0,Rarely,2023-12-08,norma.guerra@outlook.com,+813966738845,Dairy,426,1,0
5483,"Erica Clements",40,"Prefer not to say",1985-10-15,Rome,Italy,114670.70,114.67,Married,Self-employed,4,NULL,Poor,1.69,82.71,28.96,0,0,O-,0,Often,2022-12-24,erica.clements@outlook.com,+391358645637,Shellfish,515,1,1
5484,"Linda Koch",NULL,Female,1997-06-08,Munich,Germany,109466.89,109.47,Married,Unemployed,0,Master,Excellent,NULL,82.00,NULL,0,0,O+,1,Often,2022-02-15,linda.koch@yahoo.com,+499780190537,None,562,1,1
5485,"Michael Stephens",56,Male,1969-08-31,London,"United Kingdom",88627.49,88.63,Widowed,Unemployed,0,Bachelor,Excellent,1.93,NULL,NULL,0,0,A+,0,Rarely,2021-05-21,michael.stephens@hotmail.com,+447852235545,Dairy,664,1,0
5486,"Albert Duncan",53,Male,1972-08-30,Melbourne,Australia,48037.15,48.04,Widowed,Unemployed,0,Master,Excellent,1.90,75.88,21.02,0,0,AB-,1,Never,2020-09-20,albert.duncan@outlook.com,+61162883735,Shellfish,658,1,0
5487,"Richard Mullins",24,"Prefer not to say",2001-04-01,Chicago,"United States",36667.45,36.67,Divorced,Self-employed,2,Bachelor,Good,1.54,89.72,37.83,1,1,A+,1,Never,2020-05-26,richard.mullins@gmail.com,+10203031048,Pollen,329,1,0
5488,"Thomas Calderon",32,Male,1993-05-17,"Saint Petersburg",Russia,64465.69,64.47,Widowed,Unemployed,4,PhD,Good,1.87,72.42,20.71,1,0,A+,0,Rarely,2021-02-05,thomas.calderon@yahoo.com,+73175928421,Shellfish,494,0,1
5489,"Lauren Arroyo",60,Non-binary,1965-11-27,Melbourne,Australia,76064.09,76.06,Married,Retired,0,Bachelor,Excellent,1.95,108.43,28.52,1,1,AB-,1,Never,2021-06-21,lauren.arroyo@yahoo.com,+61501471034,Pollen,697,1,1
5490,"Emily Mckinney",36,Female,1989-08-19,London,"United Kingdom",64346.88,64.35,Single,Unemployed,0,Master,Excellent,1.95,92.74,24.39,1,1,A-,1,Never,2023-07-02,emily.mckinney@outlook.com,+447213913794,Shellfish,341,0,0
5491,"Emily Reynolds",70,"Prefer not to say",1955-10-26,Phoenix,"United States",52183.91,52.18,Single,Retired,0,Master,Excellent,1.59,87.08,34.44,1,1,O+,0,Often,2022-11-29,emily.reynolds@outlook.com,+11831066281,Dairy,361,1,0
5492,"Melissa Mcknight",NULL,NULL,1999-04-13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,melissa.mcknight@outlook.com,NULL,NULL,NULL,NULL,NULL
5493,"Xavier Scott",51,Male,1974-12-10,Bangalore,India,87585.63,87.59,Married,Unemployed,0,Master,Excellent,1.63,62.44,23.50,1,0,B-,1,Often,2022-09-20,xavier.scott@hotmail.com,+919606754893,None,376,0,0
5494,"Desiree Brady",66,"Prefer not to say",1959-03-20,Mumbai,India,57425.52,57.43,Divorced,Retired,0,PhD,Good,NULL,109.55,NULL,0,0,AB-,0,Rarely,2023-01-24,desiree.brady@outlook.com,+911813433983,Nuts,312,1,0
5495,"Sean Hendricks",43,Male,1982-03-19,"Chiang Mai",Thailand,96636.88,96.64,Married,Employed,0,PhD,Poor,1.88,60.65,17.16,1,0,A+,1,Often,2022-11-07,sean.hendricks@yahoo.com,+66681731798,Pollen,339,0,1
5496,"Dr. David Smith",39,Male,1986-01-02,Kyoto,Japan,115251.85,115.25,Widowed,Self-employed,3,Master,Poor,1.64,86.59,32.19,1,1,AB+,1,Often,2021-05-14,dr..smith@gmail.com,+818274329371,None,450,0,0
5497,"Margaret Lewis",27,Female,1998-11-28,Milan,Italy,58477.44,58.48,Widowed,Self-employed,4,Master,Fair,1.98,80.12,20.44,1,0,O-,1,Rarely,2023-01-30,margaret.lewis@yahoo.com,+390055819613,None,536,1,1
5498,"Lauren Lang",69,"Prefer not to say",1956-02-26,Rome,Italy,31085.84,31.09,Married,Retired,2,Master,Good,1.88,57.00,16.13,1,1,AB+,1,Often,2023-05-26,lauren.lang@outlook.com,+396558210343,None,406,1,1
5499,"Carla Carter",54,Female,1971-04-02,Sydney,Australia,106834.02,106.83,Married,Employed,3,Bachelor,Fair,1.67,102.74,36.84,1,1,O-,1,Often,2020-10-05,carla.carter@hotmail.com,+61848538415,Nuts,306,0,0
5500,"Alejandro Hooper",49,Male,1976-02-17,Melbourne,Australia,108605.61,108.61,Single,Employed,0,Master,Fair,1.53,71.87,30.70,0,0,O+,0,Occasionally,2022-10-06,alejandro.hooper@outlook.com,+61740821409,Shellfish,427,0,1
5501,"Alec Williams",40,Male,1985-03-13,Beijing,China,118991.81,118.99,Widowed,Employed,0,PhD,Fair,1.67,70.19,25.17,0,0,B-,1,Often,2023-12-14,alec.williams@outlook.com,+8663791606270,Dairy,494,0,0
5502,"Robin Erickson",26,Female,1999-09-16,"New York","United States",49081.56,49.08,Single,Self-employed,0,Master,Poor,1.97,67.21,17.32,1,0,B+,1,Often,2022-12-05,robin.erickson@yahoo.com,+14557275198,Dairy,625,0,0
5503,"Summer Velazquez",27,"Prefer not to say",1998-12-09,"Los Angeles","United States",94850.12,94.85,Single,Employed,0,Master,Excellent,1.58,89.12,35.70,0,0,O-,0,Rarely,2020-01-05,NULL,+11499508577,Pollen,415,1,1
5504,"Austin Solomon",26,Male,1999-10-30,Bangalore,India,54924.73,54.92,Married,NULL,0,Bachelor,Good,1.75,116.41,38.01,1,1,A-,1,Never,2020-11-17,austin.solomon@outlook.com,+919456983847,Pollen,345,1,0
5505,"Robert Guerra",42,Male,1983-09-03,Kyoto,Japan,124862.09,124.86,Married,Employed,0,NULL,Excellent,1.78,68.46,21.61,1,1,A+,1,Rarely,2023-04-20,robert.guerra@outlook.com,+811174061577,None,631,0,0
5506,"Timothy Garza",26,Male,1999-06-15,Bangkok,Thailand,48233.57,48.23,Widowed,Unemployed,1,Master,Fair,1.88,113.12,32.01,1,1,B+,1,Rarely,2020-07-16,timothy.garza@yahoo.com,+66747208619,None,674,0,0
5507,"William Johnson",33,Male,1992-07-21,Munich,Germany,72620.25,72.62,Single,Employed,0,Master,Fair,1.67,63.41,22.74,0,0,O-,1,Often,2023-07-14,william.johnson@hotmail.com,+491194268957,Nuts,525,0,0
5508,"David Martin",53,Male,1972-09-12,Rome,Italy,44444.08,44.44,Widowed,Employed,1,Bachelor,Good,1.91,99.06,27.15,1,NULL,A-,1,Occasionally,2020-01-26,david.martin@gmail.com,+394080074783,Shellfish,721,1,0
5509,"Mrs. Christina Ward",51,Female,1974-12-01,Vancouver,Canada,143306.28,143.31,Married,Self-employed,2,Master,Good,1.92,111.77,30.32,0,0,A-,1,Occasionally,2023-02-01,mrs..ward@hotmail.com,+19604885805,Pollen,799,0,0
5510,"Shannon Murphy",61,Male,1964-06-04,Toronto,Canada,44177.81,44.18,Widowed,Retired,0,Bachelor,Fair,1.51,71.01,31.14,0,0,B-,0,Often,2021-10-14,shannon.murphy@gmail.com,NULL,Nuts,308,0,1
5511,"Ana Medina",51,Female,1974-03-23,Mumbai,India,108452.51,108.45,Married,Self-employed,2,Bachelor,Excellent,1.76,64.88,20.95,1,0,B+,0,Often,2021-10-02,ana.medina@gmail.com,+912077450779,Nuts,662,0,0
5512,"John Hansen",68,Male,1957-02-16,London,"United Kingdom",76078.22,76.08,Married,Retired,0,NULL,Poor,1.85,54.15,15.82,1,0,AB+,1,Never,2021-03-14,john.hansen@yahoo.com,+447559147378,Nuts,514,1,0
5513,"Ryan Boyd",35,Male,1990-05-14,"Abu Dhabi","United Arab Emirates",36678.38,36.68,Divorced,Unemployed,1,PhD,Excellent,1.71,73.99,25.30,0,0,B+,1,Rarely,2023-09-17,ryan.boyd@gmail.com,+971189873393,Nuts,630,0,0
5514,"Danielle Williams",42,"Prefer not to say",1983-09-25,"Chiang Mai",Thailand,49132.81,49.13,Widowed,Employed,3,Master,Good,1.77,112.37,35.87,1,1,B+,1,Rarely,2021-10-01,danielle.williams@yahoo.com,+66831858966,Shellfish,310,0,1
5515,"Kimberly Long",57,Female,1968-11-10,Bangalore,India,69298.00,69.30,Widowed,Unemployed,2,Master,Good,1.85,80.55,23.54,0,0,B-,1,Often,2023-08-18,kimberly.long@hotmail.com,+913375692708,Nuts,364,0,1
5516,"Christine Vance",32,Female,1993-12-19,Manchester,"United Kingdom",95029.31,95.03,Married,Employed,0,NULL,Good,1.87,67.71,19.36,0,0,AB-,1,Rarely,2022-12-23,christine.vance@outlook.com,+442440074908,Nuts,782,0,1
5517,"Daniel Hall",50,Male,1975-06-11,London,"United Kingdom",146462.40,146.46,Married,Unemployed,0,Bachelor,Excellent,1.66,91.29,33.13,0,0,AB-,1,Rarely,2022-07-23,daniel.hall@gmail.com,+441346249899,Dairy,452,1,1
5518,"Amy Harvey",60,Female,1965-03-02,Rome,Italy,44238.11,44.24,Single,Retired,0,Master,Fair,1.78,90.91,28.69,0,0,AB+,0,Often,2020-10-19,amy.harvey@hotmail.com,+396356357897,Dairy,657,1,1
5519,"Alan Meadows",29,Male,1996-08-12,"New York","United States",66815.67,66.82,Widowed,Self-employed,3,Master,Excellent,1.95,110.51,29.06,1,1,AB+,0,Occasionally,2023-05-01,NULL,+10929784992,None,427,0,1
5520,"Alicia Carr",NULL,Female,1995-03-26,Bangalore,India,117108.22,117.11,Divorced,Unemployed,0,Bachelor,Poor,NULL,55.11,NULL,1,0,B+,1,Occasionally,2022-04-17,alicia.carr@yahoo.com,+917999160939,Nuts,487,0,0
5521,"Scott Smith",65,Non-binary,1960-01-25,Lyon,France,82866.16,82.87,Widowed,Retired,0,Bachelor,Poor,1.56,102.95,42.30,0,0,AB+,0,Often,2022-02-28,scott.smith@yahoo.com,+33705897514,Shellfish,344,1,0
5522,"Keith Baker",25,Male,2000-10-22,Bangkok,Thailand,111656.72,111.66,Widowed,Employed,4,Master,Good,1.82,71.44,21.57,0,0,AB-,0,Rarely,2021-06-24,keith.baker@outlook.com,+66738755711,Dairy,512,1,1
5523,"William Davis",54,Male,1971-06-16,Berlin,Germany,54950.71,54.95,Single,Employed,0,Bachelor,Good,1.94,76.20,20.25,0,0,O+,0,Rarely,2020-08-14,william.davis@hotmail.com,+495652038231,Pollen,471,0,1
5524,"Sarah Pratt",27,Non-binary,1998-12-12,Singapore,Singapore,60228.05,60.23,Divorced,Employed,1,Master,Excellent,NULL,82.50,NULL,0,0,O-,0,Rarely,2023-06-24,sarah.pratt@outlook.com,+6511591128,Pollen,321,0,0
5525,"James Moran",44,Male,1981-10-18,Delhi,India,58665.76,58.67,Single,Employed,0,Bachelor,Excellent,1.77,57.86,18.47,1,0,A-,1,Occasionally,2023-06-24,NULL,NULL,Shellfish,778,0,1
5526,"Ruth Mitchell",NULL,"Prefer not to say",1980-12-31,Beijing,China,38536.21,38.54,Divorced,Employed,0,Master,Poor,1.56,119.27,49.01,0,0,A+,1,Often,2020-03-03,ruth.mitchell@gmail.com,+8678636227786,Nuts,592,0,0
5527,"Anthony Fry",37,Non-binary,1988-04-13,Paris,France,88347.75,88.35,Married,Employed,3,Master,Good,1.56,82.95,34.09,0,0,AB+,1,Occasionally,2023-03-12,anthony.fry@gmail.com,+33588677339,None,705,1,1
5528,"Melissa Sutton",38,Female,1987-07-04,Hamburg,Germany,85930.72,85.93,Married,Employed,5,Bachelor,Poor,1.53,86.35,36.89,1,0,AB-,1,Rarely,2023-01-24,melissa.sutton@outlook.com,+497294748634,Shellfish,365,0,0
5529,"Christina Ramirez",58,Female,1967-09-09,Rome,Italy,123562.81,123.56,Divorced,Employed,-5,Bachelor,Poor,1.90,96.69,26.78,1,0,AB+,0,Often,2023-02-16,christina.ramirez@yahoo.com,+395277742308,Dairy,573,0,0
5530,"Angela Kennedy",65,Female,1960-12-31,Singapore,Singapore,118589.42,118.59,Divorced,Retired,0,Bachelor,Excellent,1.79,102.68,32.05,1,1,O+,0,Never,2021-08-01,NULL,NULL,Pollen,665,0,0
5531,"Mark Clark",50,"Prefer not to say",1975-03-29,Osaka,Japan,125206.21,125.21,Married,Self-employed,5,Bachelor,Excellent,1.60,NULL,NULL,1,1,O+,0,Often,2020-07-06,mark.clark@yahoo.com,+819275561058,Dairy,442,0,0
5532,"Jacob Horne",37,Male,1988-10-01,Melbourne,Australia,82717.00,82.72,Married,Self-employed,4,Master,Poor,1.87,55.81,15.96,0,0,A-,1,Occasionally,2020-04-27,jacob.horne@yahoo.com,+61050898536,Pollen,302,0,0
5533,"Benjamin Duke",36,Male,1989-01-29,Sydney,Australia,38639.40,38.64,Divorced,Self-employed,0,Master,Excellent,1.54,67.80,28.59,1,0,B+,1,Rarely,2020-04-02,benjamin.duke@hotmail.com,+61233971064,Dairy,592,0,1
5534,"Mx. Chloe Santana",44,"Prefer not to say",1981-01-21,Delhi,India,135897.00,135.90,Single,Unemployed,0,Master,Poor,1.94,119.05,31.63,1,0,O+,1,Often,2020-09-14,mx..santana@gmail.com,+911650556173,Shellfish,746,0,0
5535,"Andrew Roberts",62,Male,1963-10-29,Dubai,"United Arab Emirates",116273.16,116.27,Divorced,Retired,5,Bachelor,Excellent,1.78,63.99,20.20,0,0,A+,0,Often,2021-04-21,andrew.roberts@hotmail.com,+971739776813,None,835,0,0
5536,"Susan Thompson",NULL,Non-binary,1984-05-13,Manchester,"United Kingdom",130215.49,130.22,Widowed,Unemployed,1,Bachelor,Good,1.98,114.41,29.18,0,0,B-,1,Occasionally,2023-02-23,susan.thompson@gmail.com,+442840030618,Shellfish,739,0,1
5537,"Jennifer Brown",73,Female,1952-01-03,Lyon,France,125607.11,125.61,Married,Retired,5,PhD,Excellent,1.85,91.62,26.77,1,1,O-,0,Often,2021-06-08,jennifer.brown@outlook.com,+33337824322,None,730,0,1
5538,"Shelby Castro",59,Female,1966-11-19,Melbourne,Australia,130645.52,130.65,Married,Employed,4,PhD,Excellent,1.96,60.08,15.64,0,0,A-,0,Never,2020-07-05,shelby.castro@gmail.com,NULL,Shellfish,591,0,1
5539,"Johnny Garcia",48,Male,1977-10-13,Mumbai,India,94965.28,94.97,Married,Self-employed,5,PhD,Excellent,1.84,99.56,29.41,1,1,AB+,1,Occasionally,2021-08-03,johnny.garcia@yahoo.com,+917185841103,Nuts,558,0,1
5540,"Daniel Henderson",41,Male,1984-03-10,Sydney,Australia,109848.34,109.85,Widowed,Self-employed,0,Bachelor,Fair,1.94,63.96,16.99,0,0,AB+,0,Rarely,2020-10-17,daniel.henderson@outlook.com,+61335289762,Nuts,618,0,1
5541,"Ind. Emily King",31,Non-binary,1994-10-23,Birmingham,"United Kingdom",49917.10,49.92,Single,Unemployed,0,PhD,Good,1.95,58.09,15.28,1,1,A+,1,Never,2020-03-13,ind..king@yahoo.com,+442783271802,Dairy,448,0,1
5542,"Jessica Carey",36,Female,1989-01-06,Mumbai,India,34017.89,34.02,Widowed,Employed,5,PhD,Fair,1.57,98.62,40.01,1,1,AB+,0,Never,2022-02-18,jessica.carey@gmail.com,+910973987616,Dairy,309,0,0
5543,"Richard Ibarra",26,Male,1999-12-02,"New York","United States",147734.38,147.73,Married,Self-employed,0,Master,Good,1.85,NULL,NULL,1,1,AB-,0,Never,2023-08-01,richard.ibarra@gmail.com,+18894479126,Dairy,770,0,0
5544,"Claire Gutierrez",75,Female,1950-03-01,"New York","United States",41340.04,41.34,Divorced,NULL,0,PhD,Fair,1.72,51.68,17.47,0,0,AB+,0,Often,2022-09-01,claire.gutierrez@outlook.com,+10754868571,Shellfish,608,0,0
5545,"Alex Lewis",67,"Prefer not to say",1958-12-18,London,"United Kingdom",64905.38,64.91,Widowed,Retired,0,PhD,Poor,1.75,106.02,34.62,0,0,B-,1,Rarely,2023-09-04,alex.lewis@hotmail.com,+442781807715,Nuts,317,1,0
5546,"Douglas Peck",NULL,Male,1953-08-28,"Chiang Mai",Thailand,126548.66,126.55,Single,Retired,0,PhD,Fair,1.63,108.12,40.69,1,1,A+,1,Rarely,2022-05-10,douglas.peck@outlook.com,+66305295922,Pollen,587,0,0
5547,"Melissa Rose",61,Female,1964-11-14,Tokyo,Japan,140513.77,140.51,Single,Retired,0,PhD,Poor,1.92,110.96,30.10,1,0,A-,1,Often,2021-05-15,melissa.rose@gmail.com,+816502040606,Shellfish,431,1,1
5548,"Mary Cole",53,Female,1972-01-20,Hamburg,Germany,55760.10,55.76,Widowed,Self-employed,5,Bachelor,Fair,1.68,100.40,35.57,0,0,O-,1,Never,2023-09-12,mary.cole@outlook.com,+498348316171,None,508,0,0
